window_start,ic,n_obs
2026-02-04 00:00:00+00:00,0.015199,1878
2026-02-11 00:00:00+00:00,-0.102042,2016
2026-02-18 00:00:00+00:00,0.049223,2016
2026-02-25 00:00:00+00:00,0.010209,2016
2026-03-04 00:00:00+00:00,-0.061792,2016
2026-03-11 00:00:00+00:00,-0.000177,2016
2026-03-18 00:00:00+00:00,0.096956,2016
2026-03-25 00:00:00+00:00,0.20405,2016
2026-04-01 00:00:00+00:00,0.102561,2016
2026-04-08 00:00:00+00:00,0.042249,2016
2026-04-15 00:00:00+00:00,0.032744,2016
2026-04-22 00:00:00+00:00,0.046513,2016
2026-04-29 00:00:00+00:00,0.017319,553
