window_start,ic,n_obs
2026-02-01 00:00:00+00:00,0.023053,9778
2026-02-08 00:00:00+00:00,0.090818,10080
2026-02-15 00:00:00+00:00,0.031845,10080
2026-02-22 00:00:00+00:00,0.022431,10080
2026-03-01 00:00:00+00:00,0.019681,10080
2026-03-08 00:00:00+00:00,0.020515,10080
2026-03-15 00:00:00+00:00,-0.000268,10080
2026-03-22 00:00:00+00:00,-0.016417,10080
2026-03-29 00:00:00+00:00,-0.017111,10080
2026-04-05 00:00:00+00:00,0.016773,10080
2026-04-12 00:00:00+00:00,0.028228,10080
2026-04-19 00:00:00+00:00,-0.016331,10080
2026-04-26 00:00:00+00:00,-0.000183,7186
